Date,XOM,CVX
2020-01-02,95.00154113769531,54.63477325439453
2020-01-03,94.67295837402344,54.19554901123047
2020-01-06,94.3521728515625,54.61166763305664
2020-01-07,93.14735412597656,54.16472244262695
2020-01-08,92.08335876464844,53.347900390625
2020-01-09,91.93472290039062,53.75631332397461
2020-01-10,91.09757995605469,53.27854537963867
2020-01-13,91.26970672607422,53.78713607788086
2020-01-14,90.98806762695312,53.32477569580078
2020-01-15,90.85507202148438,53.24001693725586
2020-01-16,91.44965362548828,53.031959533691406
2020-01-17,90.42475128173828,52.83161163330078
2020-01-21,88.64881896972656,52.07642364501953
2020-01-22,88.32804870605469,51.77589797973633
2020-01-23,88.48451232910156,51.45225143432617
2020-01-24,87.50656127929688,51.10548400878906
2020-01-27,86.36432647705078,49.8879508972168
2020-01-28,86.9354476928711,49.818599700927734
2020-01-29,86.34869384765625,49.40248489379883
2020-01-30,87.1545181274414,49.926483154296875
2020-01-31,83.82168579101562,47.86901092529297
2020-02-03,83.14886474609375,46.79789352416992
2020-02-04,83.59481048583984,46.21224594116211
2020-02-05,86.27827453613281,48.33906555175781
2020-02-06,85.66022491455078,47.68406677246094
2020-02-07,85.22990417480469,47.36812973022461
2020-02-10,85.89492797851562,46.86786651611328
2020-02-11,87.00586700439453,47.31340408325195
2020-02-12,87.65522766113281,47.8918342590332
2020-02-13,87.35794067382812,47.62607192993164
2020-02-14,87.12838745117188,47.407203674316406
2020-02-18,87.25503540039062,46.80533981323242
2020-02-19,87.6507797241211,47.16489791870117
2020-02-20,86.91466522216797,46.789703369140625
2020-02-21,86.28147888183594,46.21909713745117
2020-02-24,82.8780288696289,44.05392837524414
2020-02-25,79.71202850341797,42.36555480957031
2020-02-26,77.5987319946289,41.435386657714844
2020-02-27,74.50394439697266,38.94191360473633
2020-02-28,73.87867736816406,40.20819091796875
2020-03-02,76.45105743408203,42.11541748046875
2020-03-03,74.7097396850586,40.09876251220703
2020-03-04,77.98655700683594,40.974212646484375
2020-03-05,76.92594909667969,39.1685905456543
2020-03-06,75.44583129882812,37.27699279785156
2020-03-09,63.8503532409668,32.71995544433594
2020-03-10,67.26173400878906,33.9315185546875
2020-03-11,65.71829223632812,32.813751220703125
2020-03-12,60.35983657836914,29.061830520629883
2020-03-13,66.0269775390625,29.79659080505371
2020-03-16,55.16759490966797,26.959184646606445
2020-03-17,55.951194763183594,28.77262306213379
2020-03-18,43.57210922241211,25.888317108154297
2020-03-19,45.424224853515625,26.912288665771484
2020-03-20,47.00722122192383,25.591291427612305
2020-03-23,42.915164947509766,24.582963943481445
2020-03-24,52.674381256103516,27.701751708984375
2020-03-25,54.827239990234375,29.147808074951172
2020-03-26,60.4548225402832,30.34373664855957
2020-03-27,54.43941116333008,28.882051467895508
2020-03-30,56.948463439941406,29.311954498291016
2020-03-31,57.35213088989258,29.67933464050293
2020-04-01,54.26527404785156,29.335407257080078
2020-04-02,60.2490234375,31.57875633239746
2020-04-03,59.44961166381836,30.648584365844727
2020-04-06,63.62873458862305,31.633464813232422
2020-04-07,64.0482177734375,32.23533630371094
2020-04-08,68.05323028564453,34.27545166015625
2020-04-09,66.7314224243164,33.71266174316406
2020-04-13,67.2063217163086,33.42344665527344
2020-04-14,66.96887969970703,33.165504455566406
2020-04-15,65.29088592529297,31.641279220581055
2020-04-16,63.3121337890625,30.60169219970703
2020-04-17,68.99510192871094,33.78301239013672
2020-04-20,66.14569091796875,32.18843460083008
2020-04-21,64.61811828613281,32.01646423339844
2020-04-22,66.83432006835938,32.93100357055664
2020-04-23,68.70225524902344,33.96278762817383
2020-04-24,68.86847686767578,34.181640625
2020-04-27,71.00550842285156,34.34579849243164
2020-04-28,71.1638412475586,35.15089797973633
2020-04-29,74.89178466796875,37.09721374511719
2020-04-30,72.81805419921875,36.32339096069336
2020-05-01,70.79182434082031,33.72047805786133
2020-05-04,72.37482452392578,35.080562591552734
2020-05-05,73.52247619628906,35.04146957397461
2020-05-06,71.27462768554688,34.384883880615234
2020-05-07,73.3246078491211,34.58028793334961
2020-05-08,75.5645980834961,36.09669876098633
2020-05-11,73.90242004394531,35.752777099609375
2020-05-12,72.10569763183594,35.15516662597656
2020-05-13,70.20610046386719,33.41015625
2020-05-14,71.27462768554688,33.704978942871094
2020-05-15,70.57019805908203,33.4659309387207
2020-05-18,74.32878875732422,36.12726974487305
2020-05-19,71.97565460205078,35.01173782348633
2020-05-20,74.69020080566406,36.15117263793945
2020-05-21,73.91919708251953,35.505767822265625
2020-05-22,72.50570678710938,35.53763198852539
2020-05-26,74.93115234375,36.581451416015625
2020-05-27,75.41301727294922,36.84440231323242
2020-05-28,72.97956848144531,35.88823699951172
2020-05-29,73.64615631103516,36.230857849121094
2020-06-01,74.52154541015625,36.87627410888672
2020-06-02,76.0474853515625,37.69698715209961
2020-06-03,78.04724884033203,39.23482131958008
2020-06-04,77.32442474365234,39.12327575683594
2020-06-05,80.96257019042969,42.2945671081543
2020-06-08,82.9141616821289,43.61725997924805
2020-06-09,81.54081726074219,42.64515686035156
2020-06-10,78.36849975585938,40.35831832885742
2020-06-11,71.77486419677734,36.79658889770508
2020-06-12,74.20028686523438,37.585426330566406
2020-06-15,73.26869201660156,37.5615234375
2020-06-16,75.51741790771484,38.40614318847656
2020-06-17,73.51764678955078,37.155155181884766
2020-06-18,73.83888244628906,37.38623809814453
2020-06-19,72.78681182861328,36.637229919433594
2020-06-22,73.55778503417969,36.98783493041992
2020-06-23,73.43734741210938,37.210933685302734
2020-06-24,70.38548278808594,35.457950592041016
